true-predicted	TRUE	predicted	message	source	correct	true 2nd	predicted 2nd
SE-SE	SE	SE	Hi How are you VHTs, we have to meet you today at 2pm, we might be together for 30 minutes. Sorry we had some problems - we are a bit late but we will come.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Thank you for coming yesterday all VHTs. The plan next week: Tuesday - supervisor home visit. Dorothy please can we meet at Seeta Nazigo HC III with Luke, Patricia, Nora at 2pm and go on a home visit to a house ? We can all observe 1 vht and give feedback. Then at  4pm with Gordon Matthew and Francesca we will go to makata and observe a home visit. I will pay all VHTs 20,000 shillings that day for May. On Wednesday Edward please can we meet at Seeta Nazigo at 1.45pm? We will drive to kiruja butoke and do a supervisor home visit with Qiana and Jane. Then we will drive back to Kavulle and at 3.30pm meet with Isabella, Harriet and Karl and do a home visit to one home. I will pay all VHTs 20000 for may that day.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	On Friday please remember Dr. Simon will be at Seeta Nazigo from 830am to 1pm to see patients who were reviewed In march and April	logistics	TRUE	SE	none
SE-C&I	SE	C&I	Please try to remember take photographs if you can ! Anything interesting relating to the project or ear disease would be good	logistics	FALSE	C&I	none
C&I-C&I	C&I	C&I	Greetings members, thanks for today's work, I want to announce the death of my Mother is had remained at my dad's place, she got a car accident and died, burial is tomorrow in Bugerere the place is called mukoloto where they are going to burry her tomorrow, whoever have heard should tell another.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Luke sorry about the death of your mother who was still remaining, but me I Will not manage to attend the burial because I have a function to attend, a wedding ceremony of in-law so sorry about that, I wish you a safe travel to the burial God bless you.	logistics	TRUE	SE	none
SE-SE	SE	SE	Mr Luke sorry about the death, its God who give and takes, praise the name of the Lord, it is so bad to lose a mother, so bad my dear.	logistics	TRUE	SE	none
SE-SE	SE	SE	Luke, very sorry but we share the pain with you.	logistics	TRUE	none	none
C&I-SE	C&I	SE	Greetings to you all. Thanks for the work you're doing. Those who have lost loved one, sorry. I am just reminding you about tomorrow following the week's program. I want us to follow it properly until we get to the 10th. Have a good day.	logistics	FALSE	SE	C&I
C&I-C&I	C&I	C&I	Thanks for reminding us Dorothy to follow next week's program. Next week's program covers about three days that is Tuesday, Wednesday and Friday of Simon. I think those are the days we need to follow mostly to ensure we fulfil that program. Thank you.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Yes! Well done guys. Have a nice remaining Sunday	logistics	TRUE	SE	none
QA-QA	QA	QA	Good morning VHTs. Just a reminder that when you complete forms please do so correctly. Some are missing the hearing information and are blank. We can only then assume you did not test for hearing. Thank you and have a good day	logistics	TRUE	SE	none
SE-SE	SE	SE	Also well done Luke your completion of forms has been much more accurate.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	I'm on a home visit now with Dorothy , Nora and Patricia. Luke , Gordon , Francesca and Matthew shall we do yours on Thursday?? Tomorrow ( Wednesday) Edward please can we meet at Seeta Nazigo at 1.45pm? We will drive to kiruja butoke and do a supervisor home visit with Qiana and Jane at Qianas home. Qiana we will arrive to your place at 2pm. Then we will drive back to Kavuule and at 3.30pm meet with Isabella, Harriet and Karl and do a home visit. I will pay all VHTs 20000 for May that day. Gordon Francesca Luke and Matthew I will accompany you to a home visit at 2pm on Thursday. All VHTs remember Dr Simon will be at Seeta Nazigo HC on Friday at 830am to see patients. Please let the community know !!	logistics	TRUE	C&I	none
C&I-QA	C&I	QA	So the following VHTs please try make every effort that your patients come to Seeta Nazigo HCIII on Friday to see Dr Simon	logistics	FALSE	SE	C&I
C&I-C&I	C&I	C&I	Rachael: (1) 68 year old woman from Seeta Nazigo. (2) 11 year old girl from Namina (3) 13 year old boy from Seeta (4)  40 year old woman from Nakusubya (5) 17 year old woman from Mwanyanjiri (6)  10 year old boy from Kiwugu	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Jane: (1) 70 year old man, from Kirujja Butooke (2) 11 year old girl from Nakina, (3) 25 year old woman from Kirijja Butooke.  (4)8 year old boy, Kirujja Butooke (5) 5 year old boy from Kirujja Butooke (6)  7 year old girl from Kirujja Butooke	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Luke: (1) 15 year old girl, Seeta Nazigo (2) 35 year old woman from Kisolooza (3)  8 year old girl from Kirujja Butooke (4) 29 year old woman from Byafala (5) 20 year old man from Byafala (6)  17 year old girl from Makata (7) 40 year old female, from Nawanjuki (8)  25 year old woman from Namina (9) 42 year old man from Lukonse	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Edward: (1) 32 year old man, from Seeta nazigo (2) 10 year old boy from Nakusubya (3)  18 year old boy from Kavuule (4) 26 year old female, Makata (5)  24 year old female Namuyenje (6)1 year old baby girl, Namuyenje (7)  7 year old girl, Buwaali (8) 4 year old girl Buwaali	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Harriet: (1) 63 year old woman, Kavuule (2)  2 year old boy, Kavuule	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Nora: (1) 27 year old woman, Seeta nazigo	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Isabella: (1), 11 year old man, Kavuule  (2) 60 year old female, Kavuule	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Patricia: (1) K, 75 year old man, Seeta Nazigo	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Qiana: (1) 11 year old, girl, Gamba (2) 50 year old man, Kirujja Butooke	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Dorothy (1) 10 year old boy, Busiiba (2) 10 year old girl, Wabinyila (3)  5 year old boy, Seeta Nazigo	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Matthew: (1) 36 year old woman	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	More patients	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Harriet: (1) 67 year old woman	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	If any VHT can get a loud speaker and go around the villages of Kavuule, Seeta, Kirujja and Makata informing the villagers Dr Simon will be here on Friday to see those patients who need to be seen free of charge I can reimburse them the cost of the bodaboda and the megaphone to announce to people.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Hi Edward I am here at Seeta Nazigo health centre	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Are you ready to go to kirujja butooke to do the home visit with Qiana??	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Harriet Isabella and Karl. We are on the way now to kavuule.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We will be there at makata Primary school by 350pm	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Andrew please come towards  Harriet's home	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We are driving that way now Karl	logistics	TRUE	none	SE
C&I-C&I	C&I	C&I	The megaphone or loud speaker is for hire and it needs like 10,000 and the bodaboda also 10,000 or 15,000. I can do that because it is so easy once I get the information, I can move and announce in the village. If I get the response fast I can do that now, if I fail to get the feedback in time I may not be able to do it in time.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Mr. Luke well-done, Andrew said that whoever can get the loud speaker can inform him, he will pay for it and the bodaboda in order to move around the four villages but I see as if you are wrong in your messages, you said the speaker is for 10,000 and bodaboda is 10,000 then you added 15,000 so which is right?	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Mr Andrew I said bodaboda is for 20,000, a speaker is for 10,000 and 5000 is for buying batteries that the speaker uses, because we are going to move in villages like Mwanyajiri, Kavule, Makata, Namina, Byafula, kirondo busiimbe then we come back to Seeta we shall be stopping as we announce wherever we shall be going.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Ok, thanks	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	I am happy for you to do that. I will meet you at 9am at Seeta Nazigo to give you 35,000 Luke to do this.	logistics	TRUE	C&I	none
C&I-QA	C&I	QA	Ideally just tell people who have the blue sheets to come but if someone has major ear problems like pus then they should also come.	logistics	FALSE	C&I	C&I
SE-SE	SE	SE	Thank you	logistics	TRUE	none	none
SE-SE	SE	SE	Greetings members, thank you for the work you are doing for our people in your villages, I want to thank people moved yesterday with Andrew, thank you so much because you came in time and we did what we were supposed to do,  I also continue to thank those who moved with Andrew today, I encourage those who are going to move tomorrow to keep time and do what you are supposed to do as it is required and I encourage all of you from the first group to last one to inform our patients to come and meet Doctor Simon on Friday, let us also do that very well, the good thing is that our people appreciate what we are doing and lastly I thank Bryan, Catherine and Andrew, thank you so much, people really appreciate, we are happy because when they appreciate us it means they are appreciating you as well because you are the ones who engaged us in this activity, those who will work tomorrow I wish you the best, good night friends	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Thank you Dorothy. Gordon, Francesca and Matthew I will meet you at 2pm today at makata trading center to accompany you on a home visit.	logistics	TRUE	SE	none
SE-SE	SE	SE	Vhts thank you so much for today. Thank you Luke for mobilising people. Thank you to all vhts that attended the camp. Dorothy Edward Qiana Patricia Harriet. We are all grateful. We saw just over 40 patients.	logistics	TRUE	SE	none
SE-SE	SE	SE	Thanks too Doctor	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Greetings VHTs welcome back from the churches, that child I have sent on that video is called X, she has wounds around the whole ear I think even the inside the wounds here in Buganda are called "Amaddu"	logistics	TRUE	SE	none
QA-QA	QA	QA	She needs topical antibiotic cream - fuicidin	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Next week can we meet to discuss the photos? Please bring your cameras. Meet at seeta nazigo HC III Tuesday 2pm - Luke and Dorothy; Tuesday 3pm - Edward and Isabella; Tuesday 4pm - Matthew and Francesca; Tuesday 5pm - Patricia; Wednesday 2pm - Gordon and Nora; Wednesday 3pm - Karl and Harriet. Please be on time. We will provide drinks and snacks and will refund 1k for transport for seeta nazigo VHTs, 2k for makata and kavuule and 3k for kirujja butooke.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Greetings ladies and gentleman, thanks for the work you are doing, I take this opportunity to inform you that one of our fellow VHTs Jane lost her sister, burial is today in Namina at 4pm as I heard, I inform our leaders, Andrew, Catherine and Bryan and our members we work with that our fellow has lost a relative. Whoever will manage to give the condolences, let's get a way of collecting them and also going to attend for the burial those who were told  be met today I request you to be there on time another thing, those who are not meeting Andrew today, I request let us go and attend the burial of our friend, let's be together. Thank you so much.	logistics	TRUE	SE	SE
SE-SE	SE	SE	I am sorry to hear this news.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Greets VHTs; thanks for the work you are doing. Dr, Catherine, Bryan. I also greet you. It is so sad about our friend loosing a brother. I feel bad, because I am not in Makata, but I send my apologies. Sorry, I won't be around the next few weeks. I left home yesterday. I am in a conference in Kitante. We are in a training, but it will be done in 2 weeks, then I come back. Tomorrow I won't be around even for the whole week. We shall stay in touch in the weeks we have questions I will reply to these. I will do all things via WhatsApp, because I won't manage to be with you. Have a nice day.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Just a reminder for Francesca and Matthew we at Seeta Nazigo HCIII - please come at 4pm for interviews and bring the camera	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Also an interview at 5pm with Patricia today.	logistics	TRUE	none	none
SE-QA	SE	QA	Ladies and gentleman, good morning. Thanks for the work you have done this morning. Please can I remind those who were given an appointment today, please fulfil it, keep to time and that way we can build trust. Those who missed the appointments yesterday, please join your friends today so you can understand what will happen. Thanks so much have a nice day.	logistics	FALSE	SE	none
C&I-C&I	C&I	C&I	Hi would any one prefer to do their interview tomorrow rather than today ? We still have to interview Gordon, Nora, Karl, Harriet, Qiana, Jane, Isabella about the photos. If 3 people from those 7 can volunteer to come tomorrow (Thursday) instead of today as it is just Catherine and I today it will mean you are not delayed.  Ok - it now appears Bryan is able to come so we can do everyone today. Please come at the schedule times. Olwokusatu ssaawa 2pm -Gordon ne Nora.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Greetings all VHTs, I want to say sorry about our VHT who lost a relative. Qiana. And all her family members. I got the information late - I didn't have power on my phone. I thank all those who went to the burial. Neighbours, VHTs Catherine, Bryan, Andrew the ones we were with yesterday evening. The ones we were with yesterday - we helped to show people the work we do with photos and replying to questions in turn about how we have been following up patients at treating them. I thank you all. Qiana - please let god be with you. It is so sad. It is god who gives, and god who takes. Let the person, rest in peace. Good night to all VHTs. I am VHT Matthew in Makata.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	We are at the health centre now	logistics	TRUE	none	none
SE-SE	SE	SE	How is your day?	logistics	TRUE	none	none
SE-SE	SE	SE	We are ok - what about you?	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	How are you today all VHTs - thank you for the work you've been doing all this week. We haven't yet finished! Thank you so much. I want to inform you that Nora sent me information - she lost her elder. Burial is today at 10pm, since they are Muslims. We might not be able to all go, but who eve is available please try go at 10pm. For those who will not manage to go; I pray you be with her in heart. Send her condolence messages. Thanks so much have a nice day.	logistics	TRUE	SE	none
SE-C&I	SE	C&I	Innalirahi wahinah lirahi rajihunnah." Islamic saying for RIP	logistics	FALSE	SE	none
SE-SE	SE	SE	Sorry Nora - we were with you yesterday at the health centre, and didn't even know about your problem. I am so sorry some of us won't make burial but let us be together when we meet. We will always be with you. Let god make you firm. We got the information late, Sorry about that.	logistics	TRUE	SE	none
QA-QA	QA	QA	Hi VHTs! Thanks for your efforts. Gordon I saw your man today. I have removed the ear wax from his ear.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Harriet and Isabella - please can we interview you both on Monday afternoon at 3pm? We can come to your house in Kavuule if that works - we need to speak to you about the photos.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	All VHTs - we will have a big meeting on Wednesday from 10am - 4pm at Seeta Nazigo HC III. All VHTs should attend because at the meeting we will pay people for June (20,000 shillings), distribute new equipment (olive oil, consent forms, syringes etc), and give you all individual feedback for your cases and a plan for the  next few months. It is important everyone attends. We will be providing lunch for everyone also at 1pm.	logistics	TRUE	SE	none
SE-SE	SE	SE	We are fine sir what of you?	logistics	TRUE	none	none
SE-SE	SE	SE	Please Nora we were with you yesterday without knowing that you cab get such a problem, we are really sorry for you, some of us will not be able to come for burial but we pray you be firm	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	What you see in the photo is a  small ball (found in a bicycle bearing) which was in Mrs Wujja's ear after washing her ear. She said it has been there since she was young when she was at school. She said that she was not hearing well but now she can hear, I examined her after. She hears but she still has pain	logistics	TRUE	SE	none
QA-QA	QA	QA	Thank you for that work sir, and go ahead with the work, but about the pain I think let her get some pain killers to reduce on that problem, otherwise thank you so much.	logistics	TRUE	SE	none
SE-SE	SE	SE	Wow.  That is amazing. Well done Edward!!!	logistics	TRUE	none	none
SE-C&I	SE	C&I	Greetings my fellow VHTs, am sorry for sending this message at night but the truth am always busy and when we are out I first wash my clothes, bathing and other things then there is a program we do after that and right now we have just finished, but as I told you members, I will not be able to be with you the truth is that we are in a conference so I will not manage to attend on Wednesday, even the photos on the camera we shall do it when I come back, I send my humble apologies to Andrew, Bryan and Catherine and my other VHTs, its not that I have refused but I will be back and we shall work together, God bless you. Have a good night.	logistics	FALSE	C&I	none
C&I-C&I	C&I	C&I	Hi Harriet that is fine and thanks for letting us know, but we ideally need to see you before Wednesday. Are you free on Tuesday? It will only take a maximum of 1.5 hours to go over your photos and plan for the next few weeks, plus give you your payment. I am leaving Makata for 2 and a half weeks on Wednesday night so I need to try and see everyone before I go and don't want to leave Catherine and Bryan with lots of additional work to do.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	How are you VHTs, thanks for the work you are doing. I want to ask Isabella and Harriet, Andrew is asking if it is possible for you to be around on Tuesday as he has written his message about this. He is not there on Wednesday as he leaves that evening and will not be here for a few weeks. So that is why he wants to see you all before he leaves. He was asking whether you can be there on Tuesday? So that he can leave on Wednesday knowing he has left everything good. Please reply - thank you.	logistics	TRUE	SE	none
SE-SE	SE	SE	Greetings friends in the name of our Lord Jesus, and thanks for the work you are doing, I thank Doctor for all the work he is doing, Catherine and Bryan and my fellow VHTs, so about the issue I told you yesterday, the truth is that I will not manage to come, am here at Kitante Primary School, we expect to finish the seminar on Friday at 8pm or Saturday in the evening or Sunday morning, please Doctor forgive me, I am not trying to let you down, you will see my camera whenever I return I ask for forgiveness.	logistics	TRUE	C&I	none
C&I-SE	C&I	SE	Harriet well-done, let pray that the seminar goes on well thanks for not keeping quiet and for sending your feedback to all those who are concerned thank you so much	logistics	FALSE	SE	none
C&I-C&I	C&I	C&I	Isabella please can you let Us know if you're available to meet today or tomorrow to discuss your photos ?	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Good morning Bryan, before I reply to today's question I would like to request you that tomorrow at 8am we go and see the patients with Andrew the ones we had talked about because he told me that we go on Tuesday, because in the afternoon am not going to be around,  I will be in town so if possible let's meet at 8am to go and review the patients	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Greetings Catherine and Bryan, my phone loses my network, am available today and am using Luke's phone, am available today at my place.. It is Isabella	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Health worker Isabella we are going to see you tomorrow morning.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Hello I am slightly concerned. I am reading over the photo interviews and one vht felt that the cause of pus in the ear was when milk accidently got into the ear and when the wax becomes too much it turns into pus. This is not correct. Would one of the vhts kindly explain what causes pus in the ear?	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Well done Bryan - I have been at Omni Med when you were not around. But on Wednesday I have an issue and might be late. But when I finish in time I will come earlier and join you. Because I am going to something important for our family. I must go to that meeting, but if I get out early I will join. That is why I came to the organisation to inform you that I might be late.	logistics	TRUE	SE	none
SE-SE	SE	SE	I think that pus in the ear is caused by bacterial and viral infections that affects the middle part of the ear So if the infection is too much the middle ear(ear drum)  may tear open causing that pus	logistics	TRUE	none	C&I
SE-SE	SE	SE	Totally correct. Thanks Rachael	logistics	TRUE	none	none
SE-SE	SE	SE	You are welcome Andrew	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Hi Bryan, thanks for the work, I came at the Organization but I didn't find you, I wanted to inform you that on Wednesday I may be so late, we have a family meeting which is so urgent, but when they start earlier I will join you that is why I had come to let you know	logistics	TRUE	SE	SE
C&I-C&I	C&I	C&I	Doctor well done, I have received the news from Edward that you will meet me tomorrow, I was asking at what time will you meet me tomorrow, I don't have network , but I request Catherine or Bryan to reply to me when am still in a place where there is network.	logistics	TRUE	none	none
SE-SE	SE	SE	About the other issue of milk in the ear, the milk they are talking about does not drop direct in the ear, for us in Buganda, the milk can drop on the knees when the mother is breastfeeding the baby, that is when people say that the baby got some milk drops in the ear, that is an infection that started long time ago, but in our tradition we have people who treat this, (traditional healers) but when we go to the doctors they say its pus but it is an infection in most cases a child is born with it. Have a good night am Johnson Matthew	logistics	TRUE	none	C&I
SE-C&I	SE	C&I	Still on the same issue, because this issue is so important, for us in Buganda we have traditional doctors who treat such an infection which can't be treated by other qualified Doctors, we have diseases which can't even be treated by white doctors  but when you use the traditional medicine you get healed, we have seen this for a long time but for us keep referring to medical doctors (bazungu) but we also have the medicine that heals that problem, it is an illness which sometimes fails to be healed by the qualified Doctors then they end up saying someone's ear has rotten yet it is an illness. That is my second explanation about this issue.	logistics	FALSE	none	none
C&I-C&I	C&I	C&I	Greetings my fellow VHTs, Catherine, Andrew and Bryan you said you are coming in the morning, I was waiting for you, let me hope you are coming	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Isabella we will be with you tomorrow at the health centre.	logistics	TRUE	none	none
SE-SE	SE	SE	We ask for forgiveness - we weren't there today as arranged yesterday.	logistics	TRUE	none	none
SE-SE	SE	SE	Greetings all VHTs who work with me.  Also thank you so so much for participating in answering the questions. Let us get something to learn from, let there not be someone who gets annoyed about other VHTs answers. If that person is wrong, let us just lean and not be upset at what others say, even if it isn't correct. Also as we are told - let us read the books given to us. All the information is there. If we take our time to read and ask questions, we will learn the proper treatment for our community and our patients. Now, I also want to encourage you that tomorrow, let us try as hard as possible. I know we might not know the exact problems people get, but whoever gets an issue let the supervisors know in time such that we can make a plan. We now know we won't be with Harriet, but others let me know if there is a problem for our meeting. I also request you friends , let us be around tomorrow. Let us be there at the health centre for 10am-3pm. I beg you - for the goodness of the project. Let us be around for the meeting with Andrew. I wish you a good night, but all in all let us try keep up our effort. We don't want to get there and they ask 'why isn't this so and so coming'. I just request you to be around. Good night. I love you all.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	hi all - we will be at the health centre to meet you all just after 10am	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	lunch will be provided today. A full cooked lunch with matoke, bjanjala, omuchera, fruit, sauce etc	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Hi VHTs, thank for the work. My problem for this morning - we lost our aunt in Lugazi. But there is nothing to do I will be there in the meeting because it is for today. So I have sent children to go there and I will attend the meeting. Pray for our family. We lost important people. This one is my real aunt. The are staying in Kawoolo and will bury at 2pm - but I didn't go because of this meeting. I am coming.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Greetings VHTs, welcome back from the meeting. But about this patient, X. The advice I can give to her mother after knowing the illness, acute otitis media. The advice I give her is to feed the child with the food which gives more energy because when the child is still young the body is weak. So the child needs more care. Covering her - feeding her and also giving her body building foods that can't be affected with the disease so the white blood cells can get more energy. That is my suggestion and idea and that is what I tell the mother. To give body building foods, beans, mukene (silver fish), soya, so that the body can have more energy and also that WBCs can be stronger. Thanks alot good night. I am your VHT Matthew, Makata.	logistics	TRUE	SE	none
SE-SE	SE	SE	Greetings members, thank you for all you are doing to see that we develop our community in Health, now there is a problem which may not be good to our coordinators, the way people are responding to questions is not encouraging. Some VHTs are not replying to cases for example like yesterday, I encourage you to respond to the cases and answer the question the way you understand it, because even if you are not right still in the evening we get the right answer, I also encourage you that whenever we get the answers let's go back to ours notes and remind ourselves about the issues we are learning about. I have understood that there is a book which will be put to show the way people respond to cases, so I don't know whether it will be showing the Marks and our performance, so I advise you all to be active. Another thing I am not sure about is whether Qiana receives her phone back but to those who have their phones, please let us use them to share ideas so that we can take this project ahead also to make our representatives happy, I know they were so upset yesterday. I wish you a good day.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Thanks so much Dorothy - I had her phone (Qiana) but they told me in Mukono that she didn't verify her sim card so I went down to Mukono to do this but she needs to also come with her ID. So I will do this weekend, but thanks for the information.	logistics	TRUE	C&I	none
SE-SE	SE	SE	The members above, Mr Bryan and Mrs Dorothy thank you so much for taking that responsibility, it is true I also heard yesterday when our coordinators are not happy about people's feedback on the cases now like yesterday we had like five people who responded let us do our best. Even if you have the same answer with another person, give yours such that they can here your views as well. Thank you so much.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Thanks Dorothy for advising us but the problem we find now like me is for network, as you know Airtel Network	logistics	TRUE	C&I	SE
SE-SE	SE	SE	It can take the whole day, I apologize for the delays in replays but I promise we shall try our best.  Even now I have just seen this Voice, but yesterday it was worse I was in able to see the messages. We are sorry	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Hi members, thank you for the work you are doing even to those who  are enjoying the weekend, am requesting all the VHTs who have plans of visitiy their patients this coming week to let me know and also communicate to me about the time they are ready to go and see the patients who are on the paper we were given	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Greetings fellow health workers. On Saturday I was unable to inform you but I lost my in law at Lugazi, Kawolo. She died on Saturday morning and I was informed around midday. We buried her yesterday around Kojja at a place called Mpunge. I came back yesterday evening at 8pm. I am sorry for not letting you know but I got confused as you know when one loses someone. I wish you a good week.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	How are you members? Good morning and thanks for the work you're doing. I would like to remind you that we were given time to see our patients. I request whoever has patients to see that were written down on paper to let one of us know. Also, I request members of Kavule or Makata who could be knowing these people to help me let them know or direct me where they are so I could give them their medicine. Miss X, 27, Kavule and Miss X, 67, Kavule. I request whoever knows where they are to please direct me there so I could give them their medicine before tomorrow. Thank you so much but I suggest we use June to do our best. May God be with you.	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Thank you Edward. Yes please can vhts arrange home visits with Edward and Dorothy for June. One afternoon a month is enough	logistics	TRUE	SE	none
QA-C&I	QA	C&I	Good morning ladies and gentlemen. Thanks for all the work you're doing. Today I want to talk to you about the issue of the files. I would like us to work together whether one received a file or not. The reason I am saying that is because some people received files with people they didn't treat or who don't stay in their areas. If someone sends a name of a person from their file that they didn't treat or who don't stay in their area, the one who knows them should help and direct that person. Today someone else may be having a file but next time it will be you. I suggest we work together to make this work easy because it's 30th and almost June. It will be bad if we look for those people without finding them yet someone who could be knowing them just didn't let us know. An example is yesterday when Edward asked who knew the patients he listed down. I am not sure if you sent him a private message because I haven't seen anyone directing him. I therefore suggest we work together so we can finish the work that was given to us. This is not about only those who got the file but everyone. I will be happy if we help each other and do this work very fast.	logistics	FALSE	SE	QA
SE-C&I	SE	C&I	I would also like to remind those I will be moving with that I sent them an audio telling them we shall be meeting at the health centre developing a program. Please don't forget and keep time since what we shall be doing doesn't take much time. It could take less than an hour. If we keep time, we shall do what we are supposed to do and also go back and do other things. I remind you all that I sent private messages that today is the day we are meeting at 2pm. If there's anyone who would love to join us though they don't have a file, you're free to attend so we can share ideas and find out where our patients  stay. Thank you so much.	logistics	FALSE	C&I	none
C&I-C&I	C&I	C&I	Greetings Miss Dorothy. I am aware of the program of 2pm but can you talk to Matthew in his inbox? He was wondering if he could come though he wasn't given a file. Please send him a message telling him to attend because it's something he could learn from. He may not be having a file now but with time he could get one. Thank you so much. I will personally keep time.	logistics	TRUE	C&I	none
QA-QA	QA	QA	Greetings fellow health workers. It's Gordon from Makata. I have a patient in my file called x but I have never treated him. If anyone knows him, please let me know. I am also asking for help like Edward. It could have been a mistake but I don't have him in Makata.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Greetings to you all. I apologize because today we are at Kasangati for T.B issues. They selected SLF leaders from each subcounty and also covered our transport so it's where I am currently. However I will be there for anything that takes place including tomorrow's program. I spoke to our supervisor Edward but I will also come and talk to you Dorothy.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Greetings fellow health workers. Thanks for today's work Dorothy our supervisor. I got the message and would like to thank all those who attended the meeting. I also send greetings to our bosses Catherine, Bryan and Andrew. I am not sure if you hear from him but my regards to you all and how are you doing? Thanks for today's work. I have seen the message and I know we shall be together next week. Thank you so much for the work you're doing for us. Good night and may God be with you. It's me your fellow health worker Matthew from Makata.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Greetings VHTs, and also our supervisor Dorothy. Thanks for todays work. I am saved the message. And I also thank all those who have been in that training. I send greetings to our project coordinators - Catherine, Bryan, James. James I don't know if they communicate? Thanks for todays work. I have seen the message and I have understood that next week I am going to meet as you informed me. Thank you so much for the work you are doing for us, the supervisor. Have a good night.	logistics	TRUE	C&I	C&I
SE-SE	SE	SE	Thank you very much Dorothy.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok Madam	logistics	TRUE	none	none
SE-SE	SE	SE	Thanks health worker Dorothy	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok Sir	logistics	TRUE	none	none
C&I-QA	C&I	QA	Greetings in Jesus names and thanks for the work you are doing, may God bless you, I have just read a message which our supervisor sent saying that the people that Edward informed to meet did not give him feedback. I met with Edward yesterday, I was at the Health centre when my children are sick then I asked him about the next program since I don't know because I have not been around and he asked me whether I can recognise the patients, the truth is that they were my patients one called X and X, but when they are in his file so I informed him where the patients come from and where to find them. He gave me the treatment to X and she received it and I think he went there today. We met face to face not through inbox, I didn't want to say it here but I think it wasn't clear enough. Thank you so much	logistics	FALSE	SE	none
SE-SE	SE	SE	Ok Well done Harriet.	logistics	TRUE	C&I	none
SE-SE	SE	SE	That is great - and thank you for Edward for meeting with Harriet	logistics	TRUE	SE	none
C&I-SE	C&I	SE	You are welcome .	logistics	FALSE	none	C&I
