Prediction,primarySupervisoryCategoryAdaptedFromVuHenrysPaper,secondarySupervisoryCategoryAdaptedFromVuHenrysPaper,tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper,quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper,fifthSupervisoryCategory,Sender category,Anonymised message
Supportive environment,Communication and information - training,Supportive environment - thanks,NA,NA,NA,Facilitator,Thank you very much Dorothy. You are right but we only wanted the first part. 
Supportive environment,Communication and information - giving information,NA,NA,NA,NA,CHW,I have seen all the message though
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"This issue, we have to talk about it, so people can understand. If you look at Mukono and Kyunga district they only have 1 ENT doctor. That one doctor has to work on both districts. This means we still have a lot of problems. But our friend 'the owner of the hat' (meaning Musaveni) puts too much money in the military. Even if we don't have people attacking us. I request that at least if we had donors who can fund the health sector that would help us and have ENT specialists who are more than the number that we have. Because we can take an example of South Africa, they have 240 ENT doctors... we need the same. In South Africa people have more power than us. We can do the smae as we are many "
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - encouragement and praise,NA,NA,CHW,"Greetings fellow health workers that we work with. Our health workers Catherine and Bryan, we love you. The first question Catherine asked requires us to define what diarrhoea is. Diarrhoea is when a child passes out watery stool. It may not be that watery but it is unusual and passed out frequently. Normally a person defecates around three or four times a day but with diarrhoea the number of times exceeds that. That's what I think diarrhoea is."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW, I refer that patient to ENT specialists.
Supportive environment,Communication and information - making a request,Supportive Environment - thanks,Supportive environment - greetings,NA,NA,CHW,"Thank you Andrew. Greatings my to you all, my suggestion is that we need additional cases like malaria, cough, diarrhea because this diseases are common in our area and they are the most which disturb our children and also adults. Thank  you so much"
Supportive environment,Communication and information - giving information,Supportive Environment - thanks,Supportive environment - greetings,NA,NA,CHW,"I greet you all my fellow VHTs. On this day of 7th March, I would like to thank you all for the work you're doing considering my current situation. Good enough, I may recover. I was told to go back to Wandegeya on Saturday for examination because the doctor wasn't there and I am supposed to go back with shs. 240,000. I have seen all the groups allocated but I haven't seen myself. I thank Dr. Andrew, his colleagues Catherine, Bryan, the two supervisors Dorothy and Edward and all my fellow VHTs. Let me wait for what the doctor will say and then go back after getting the money. I would also like to thank Dr Andrew for organising another training to ensure we do our work diligently like including the date, showing the affected ear and the specific disease. Thanks so much and if possible I'll attend it.  May be that's when you will put me in a group of your choice."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,I suggest they keep feeding his sister with body building food because her body lacks that type of food but she is normal overall.
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - Thanks,NA,NA,CHW,"Greetings to you. After opening my phone, I can see a picture that has been sent to us. The picture is of someone's head and ear. The ear which is our main concern has a hole which I think is a sinus. Most of the time the person is born with that hole. It is hardly dangerous to the person but if it is swollen or has any wounds, I can apply antibiotics for the wounds to dry. I don't think there's a big problem that can come out of it because most of the time it's congenital and poses no risk. Thanks so much."
Supportive environment,Communication and information - training,Supportive environment - apology,Communication and information - giving information,Supportive environment - thanks,Supportive environment - religion,CHW,"Greetings fellow VHTs and thanks for all the work you're doing for the country. Thanks for all you have sacrificed to treat people. May God bless you. I am sorry for being silent but it's because I lost someone and just came back on Sunday night. I turned off data during the period and forgot to turn it on. I also had malaria, was so down and it's only yesterday that I got some energy to go to Seeta but I am sorry for not replying to the question on Monday and Tuesday. Now this is my answer to today's question. When the mother asks the cause of acute otitis media, I tell her the child's immunity is still very low. I also explain to her that the condition is temporary. Regards to you all and I wish you well as you answer the questions. Catherine, Andrew and Bryan, I am on my way coming. May God bless you."
Supportive environment,Communication and information - training,Communication and information - giving information,Supportive environment - apology,Supportive environment - greetings,Supportive environment - thanks,CHW," Greetings fellow VHTs. Sorry you haven't been hearing from me because of network issues but I am with you. When I look at the picture, I see a swollen and red dish ear drum that looks like it will soon develop pus. Thank you so much but forgive me."
Quality assurance,Communication and information - training,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,"Well done Francesca, you can see a red swollen ear drum. Although there might well be pus in the middle ear that reflection you are seeing is just the light from the otoscope bouncing back off the swollen ear drum . There is no obvious pus in the picture."
Communication and Information,Supportive environment - mutual learning,NA,NA,NA,NA,CHW,"Another thing - what you have said is right. We agreed with Dorothy that we utilise one day to do all this and just work on someones house holds. Me, I can work 2 days a week on someones households. So we can make arrangements on various days, move around as a group of VHTs. This will be better than walking alone. Another thing we will reach a point where we are all good and we can correct each other. So what I see is that by working together we can improve each others knowledge. We can supervise each other this way. "
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,Peer supervisor,"Such cases shouldn't be put there. Cases to be put there include the problems we encounter, seeking for advice, questions e.t.c."
Supportive environment,Communication and information - giving information,Communication and information - acknowledgement,NA,NA,NA,CHW,"Greetings my fellow VHTs, I have just returned online, I had no power,Dorothy about the issue you talked of, I have no allergies, it happens whenever I use cars with open roof like pick ups, it affects  me so much, my ears become so heavy I don't understand but when I use other cars I don't feel bad, that is why I was asking about the people using those trucks everyday whether they are not affected as well. Thank you for your advice."
Supportive environment,Communication and information - making a request,Communication and information - giving information,NA,NA,NA,CHW,"My fellow VHTs, these days I have no power but need clarification I found a photo here, I have looked at it but can't understand it. It was in the case group. Please can someone explain it to me. "
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,CHW,"About the issue of the eyes, especially when I look into light or in my phone, when I am trying to read some things I can't see well and feel itching in my eyes and get tears. That is the only problem I have. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,"The treatment I can give to that child is medicine called coartem, three tablets twice a day for three days. I accompany it with 6 paracetamol tablets that they swallow one tablet twice a day. I also ask the care takers to give them enough drinks."
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,Peer supervisor," Good morning fellow health workers. Thanks for work and I wish you a nice Sunday. This is what I have to say about today's question. I first advise Patricia's mother to be a very clean woman at her home including her kitchen, inside her house and the things she uses to prepare food for the children. I then advise her to get rid of cockroaches and houseflies in the latrines by spraying. I ask her to keep covering her latrine , avoid rearing animals close to the home, not to give children half cooked meat and ensuring children wash their hands after going to the latrine. She must also wash her hands with soap before preparing food for the children, boil drinking water and one used to prepare food. That's my answer to today's question."
Quality assurance,Communication and information - training,Supportive environment - apology,NA,NA,NA,Peer supervisor,Am sorry for the delay but what I see in the picture is called Post auricular fistula.
Quality assurance,Communication and Information - clarifying information,NA,NA,NA,NA,Facilitator,Edward please clarify for me what you mean by that. I don’t think olive oil can treat 'greed'. 
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW,"Greetings fellow health workers and thanks for the work you're doing. This is my answer to today's question. The way I see that child, I have no treatment for her condition as a VHT. I am not a qualified health worker therefore can't be permitted to treat her. The advice I can give to the mother is to take the child to a big health centre immediately. I can go ahead and escort her as well because her child's health is in danger at that moment. That's my reply to today's question."
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Facilitator,"Ok, thanks  "
Quality assurance,Communication and information - giving information,Communication and information - acknowledgement,NA,NA,NA,Facilitator,Agree. Any one who is having problems with your phone just come to omnimed between now and 2pm
Communication and Information,Supportive environment - apology,Communication and information - giving information,Supportive environment - greetings,NA,NA,CHW, Greetings to you all. I apologize because today we are at Kasangati for T.B issues. They selected SLF leaders from each subcounty and also covered our transport so it's where I am currently. However I will be there for anything that takes place including tomorrow's program. I spoke to our supervisor Edward but I will also come and talk to you Dorothy.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Fellow VHTs, this is my reply to today's questions. 4a) What prevents patients from going to Mulago is because the president said it's no longer free of charge. They will continue using it to treat only very complicated diseases and someone has to pay some money. The amount I heard him mention was too high to be affordable by common man. Another issue is some people don't know where it's located and the queue is always long. Doctors always want some money which we may refer to as bribe. 4b)In 2009, we had few doctors because all doctors who have gone to school end up going abroad (brain drain). It is an important issue that is caused by low salary. 4c) Those doctors should be coming to health centres grade II, III and IV. They should give out their phone numbers. That's my reply to the questions. I remain Byamukama Gordon."
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Peer supervisor,You are welcome. 
Quality assurance,Communication and information - training,Communication and information - giving information,Supportive environment - apology,Supportive environment - thanks,NA,CHW,"All of you fellow VHTs, Andrew, Bryan, Catherine in your respective areas, I have just received this question. My phone was showing the word no service in place of the company name MTN. After switching it off is when I received the question but all along I thought it was a general problem from the company. I have seen the question very late. Forgive me. In the picture it's like there's a child but an older one who was born with something like a hole on the pinna. I usually see them on people but they hardly have any problems with them like pain. If I find someone like that having a problem with it, I don't give them any other advice but refer them to any ENT specialist for further advice or even treatment. But from what I know they hardly cause any pain unless the one bearing it experiences some changes otherwise they never have any problems. It's congenital so I advise the person to go and see ENT specialists. That's how I can handle it. I remain VHT Gordon at Makata. Thank you so much though I've replied late. I am sorry."
Quality assurance,Communication and information - training,Communication and information - requesting information,Supportive Environment - thanks,NA,NA,CHW,"Thank you so much Andrew for the information you shared yesterday, what I would like to learn more about, you may find a person with too much pus in the ear, even if you washout the ear, the pus doesn't stop or reduce, my question is, is there somewhere that the pus hides in the ear drum? And if yes, doesn't it affect someone when the pus hides somewhere in the ear? Can't the pus go through the mouth and accidentally someone eats it and gets another problem? Am still wondering about this and it confuses me whereby I need to learn more, and lastly the holes in the ear drum, how are they caused?"
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"This problem is there in Uganda (4B), because someone can care about his child and pay for school fees, the child goes to school. After studies the child can't find jobs and those people who are doing those jobs are so old. The parent sees they have lost money on the child. They think of another option - so they tell the child to go abroad to look for jobs. Those people abroad have more opportunities that here in Uganda. That is why they go abroad. So here we don't have experts. Another problem and cause, though our doctors work hard - they get little pay. They know the money is not enough. Even getting that money some of them don;t get it on time. They worked for their money, but the administrators take months and months. They stay in self contained rooms which are costly, the need to buy food, pay bills. All this is hard if you don't get paid promptly. These are big sacrifices for them to make. If the conditions are so hard why can't such a doctor just go abroad where they are paid well. "
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,Facilitator, Good morning VHTs. What are the causes of hearing loss??
Quality assurance,Supportive environment - mutual learning,NA,NA,NA,NA,CHW,The treatment for malaria is quarterm so you give that  said patient of malaria three tablets of quartem twice a day for three days and addition of one tablet of Panadol twice a day for three days also
Quality assurance,Supportive environment - thanks,Communication and information - acknowledgement,NA,NA,NA,Facilitator,I am good. It has been a busy week but thank you all VHTs for your hard work.
Supportive environment,Communication and information - clarifying information,Communication and information - giving information,NA,NA,NA,Facilitator,"Karl asked ""Why is it that someone can get bitten by a mosquito and not suffer from malaria yet another one may? Also why do children under 5, pregnant women and those from western Uganda prone to malaria compared to other people? Karl. To answer your questions, some mosqitoes carry malaria Karl, others do not. Therefore one person might be bitten by a mosquito like the female anonphales which carries malaria, and the other person may be bitten by a male mosquito which does not carry it. Those in western Uganda have higher rates of malaria as the number of mosquitoes there are higher. Pregnant women and children have weakend immune systems compared to adults so are more likely to get malaria. Qiana asked  My question is many people sleep under mosquito nets without any holes but complain of malaria which they treat it in vain. What causes that? Qiana, thank you. To answer your question: Although they might be sleeping under a net with no holes, they could have been bitten at any other point before they fall asleep. For example at dusk when they are collecting water. It only takes one bite to get malaria. Francesca asked My question is why does fatigue cause malaria? Francesca, malaria causes fatigue as you get fevers, get dehydrated from sweating and the body feels weak. Also it can damage the red blood cells which carry oxygen around the body. Isabella asked ""They train them to do blood check ups for malaria. Is it possible with us too?"" Isabella - thank you for your enthusiasm. Right now we are not able to provide RDTs and medicine for malaria to the VHTs, since we only have a small amount of money. We think though that now you are aware that if a person presents to you with the symptoms of malaria you will know to advise them to get an RDT, check for malaria and refer them to the health centre to seek treatment if they require it. This is something you should ask the supervisors of Omni Med since they are the ones who are responsible for other disease except the ear. "
Supportive environment,Communication and information - giving information,Supportive environment - Greetings,Supportive environment - Thanks,NA,NA,Facilitator, Good morning VHTs. Did you have a good weekend? Thanks for all your work. We are now back to our cases which we always have after 2 weeks. 
Quality assurance,Communication and information - training,Supportive environment - greetings,NA,NA,NA,Facilitator,Good morning VHTs. Hope you are ok. Todays question concerning malaria is as follows: The RDT shows she has malaria. How do you treat malaria in this girl? 
Supportive environment,Communication and information - training,Supportive environment - greetings,Supportive environment - Religion,Supportive environment - thanks,NA,CHW,Greetings VHTs in the name of our Lord Jesus Christ and thanks for the work you're doing. I can see the skin of the ear drum has been pulled in which I call cholesteatoma. It needs referral because it can only be handled by specialists and it's so dangerous.
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Health Worker,Thanks
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW," Second reason that stops them is government doctors who have so much interest in money and a lot of money. If they don't know who you're or have no attachment to anyone, you cannot access them. The rich get seen first even when you get in line before them. That also discourages people. If there's any way these doctors can change their attitude, we shall be glad."
Quality assurance,Communication and information - giving information,Quality assurance - referral,NA,NA,NA,Facilitator,"She says the boy has got this on both ears, and that he does not feel any pain. But he needs to be assessed. "
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,CHW,"I had no charge on my phone, but I have to do all it takes to read the the messages shared on the phone but my eyes have a problem."
Quality assurance,Communication and information - making a request,NA,NA,NA,NA,Facilitator,Please can Dorothy check that they are OK as supervisor since they all all seeta nazigo and makata VHTs.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"This is my reply to that question. When I examine that patient and I find he has that problem, It means the problem is with the inner ear. I therefore refer him to a specialist."
Quality assurance,Communication and Information - Logistics and Planning,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,"Good morning. We will start the cases today . We also have not heard from Karl , Qiana or Jane. Please could you guys remember to contribute to this group"
Quality assurance,Supportive environment - encouragement and praise,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,"Hi VHTs, thank you for the work this week and for attending final interviews. Please could one or two of you send us a video demonstrating the use of the MUAC tape? That way we can give feedback - without seeing the video we are unable to give feedback - thank you."
Supportive environment,Communication and information - training,Supportive environment - Religion,Supportive environment - Greetings,NA,NA,CHW,"Now this is my answer to the second question. The symptoms of dehydration I can check for are body weakness. The child becomes so weak that they can't stand for long. If you try to make them stand, their body shakes. They also have sunken eyes. My regards to you all and I wish you well as you reply to the questions. Have a good day. May God be with you."
Quality assurance,Communication and Information - Logistics and Planning,Quality assurance - patient management,NA,NA,NA,Facilitator,"Patricia: (1) K, 75 year old man, Seeta Nazigo"
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,CHW,Hi   
Quality assurance,Communication and information - logistics and Planning,Quality assurance - patient management,Communication and information - making a request,NA,NA,CHW,"Mr Matthew we worked on X, we worked on him with Harriet and Dr Andrew, tell him to come and we washout his ear, he said he knows my place, we want him to come"
Quality assurance,Supportive environment - mutual learning,Quality assurance - patient management,Supportive environment - Greetings,NA,NA,CHW,"Greetings fellow VHTs and this is my suggestion about the child. It's true the child's father is around but is no better than the mum. The other relative is the paternal grandfather but he is 100+ years. I think much as the parents are not mentally okay, they have done something because the child looks better than she was when they had just brought her. I suggest if the child is given treatment, us VHTs don't stay very far from them and can check on them once in awhile. The mother told me the problem is she doesn't take milk and only takes porridge after being forced. The other food she tries to eat is rice and posho. Also, she can hardly afford it but if she gets it, she's able to feed her. She's also capable of looking after her child since she's not that badly off mentally. I suggest if the child gets treatment, we can check on her every now and then to show her how to give it to her. That's my opinion."
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW,"Greetings all of you. My name is Gordon. So when I approach this lady called Annette from Makata who wants antibiotics for itching in the ear, when the ears have no problem, just itching. So I don’t give antibiotics to that lady. I tell her antibiotics do not work for itching I make a referral for her to go to another hospital so they can examine and tell her what the issue is. Because yesterday I saw that itching might be because of itching, too much heat in the ear canal and too much wax like we saw yesterday so there is nothing I can give her. I refer her to a big hospital because I dont have any treatment for itching. That is my view. I am Gordon. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,"You ask her what symptoms she has had. She says she has had itching and some hearing loss in both ears. Please mark these in the book. You then look at the pinna which looks like this. Record your finding in the book. 
You then look in the left and right ear. They look like this. Please record the finding in your book. The hearing test was abnormal in both ears. Please record the finding in your book. Please then record your overall findings and plan in the book. 
"
Quality assurance,Communication and information - Evidence,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,Dorothy did an ear washout and dry mopping this morning. She performed very well.
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Facilitator,Correct 
Supportive environment,Communication and information - training,Supportive environment - Greetings,Supportive environment - Religion,NA,NA,CHW,Greetings fellow VHTs. This is my reply to todays question. When I look into the patients ear I see pus and perforation in the ear drum. The disease is called otitis media. That is my reply. Have a good day. May God Bless you. 
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - thanks,NA,NA,Facilitator,"Greetings VHTs - thanks to all those who replied to todays question. The question was talking about poor feeding in children. The first one was asking what is malnutrition. When a child does not get enough food to eat to help them grow, develop or fight disease. When a child is wasted or too thin for their height. When a child develops swelling in both feet (oedema). All those tems of malnutrition are good. Also it is important to know about it as the child fails to grow properly, It can affect brain development  and Children with severe malnutrition can die, Some of the reasons children are malnourished ar 
•	They are ill e.g. they have HIV
•	They do not have access to enough food 
•	They are weaned from breast feeding too early e.g. before 6 months
•	Not receiving routine vaccines
•	Lack of a varied diet once they start eating normal food e.g. not enough vitamins and different nutrients like protein "
Quality assurance,Communication and information - training,Supportive environment - greetings,NA,NA,NA,CHW,"Greetings to my fellow VHTs. As a VHT, this is  the way I can handle a patient who is reluctant to go to a government health facility because they're afraid they will be asked for money. I would encourage them to go there and assure them it's for free. I would also tell them to let me know if a health worker asks for money, so I can report them to the DHO and to prevent the vice."
Quality assurance,Communication and information - giving opinion,NA,NA,NA,NA,Peer supervisor,Those are local dogs 
Quality assurance,Supportive environment - mutual learning,Quality assurance - patient management,Supportive environment - thanks,NA,NA,CHW,"Byamukama, when a patient has puss in the ear, you have to do an ear washout after doing that as we do, you put the antibiotic drops because you like it or not such a patient must be having some wounds in the ear. That's what I think. What I had forgotten after the ear washout, you do ear mopping before putting antibiotic drops. Thank you so much"
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"The first symptom of dehydration is dry skin, change in colour of the eyes that are also sunken. Those symptoms mean the child is dehydrated."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Question no.1) if I find that lady with pain and discharge, first thing I do is to give her some pain killers to reduce the pain. After that, I wash her ear. When I'm done washing her ear, I dry it. Next I put in antibiotic drops to heal the wounds. Three drops. I then let her go home. That's my answer to the first question. Question 2) I take her history but before that, I give her the consent form to confirm that she has accepted the treatment I will be giving her. I explain to her why she has to sign it. After accepting, I give her pain killers. When she says the pain has reduced, I do the ear wash out to remove the discharge. Next I dry it like I said in the first place. Another question, what important questions I'm I supposed to ask her. They include, how long she has had the pain, if she has had any treatment before and then I examine. After examining, I ask if she has any allergy. If she says she has, I call my bosses to inquire from them what to do like they told us."
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - thanks,NA,NA,CHW,"Greetings to you all and this is my reply to the question.
A. The biggest cause of hearing loss in Mukono district is sickness which affects their bodies. Medication causes the problem too. Inserting sticks in their ears to remove wax and stone quarries also cause hearing loss. B. Yes, people are discouraged when there are no hearing aids or if they're unable to afford them. C. As VHTs, what we can do is to advise people on how to prevent ear problems that can cause hearing loss. I also call upon the government to offer free treatment for people with hearing loss or to reduce on the tax of hearing aids during their importation to Uganda so they are affordable. They should also deploy more ENT specialists in government health centres. That's my reply to today's questions. Thanks so much."
Quality assurance,Communication and information - training,Supportive environment - Thanks,NA,NA,NA,Facilitator," Thanks Jane. Otitis media is a disease of poor hygiene and actually much more common in poor children than those from rich families. For example, in poor areas of Australia almost 70% of children has CSOM compared to the rich areas where it is only 1%. It is a disease of inequality.  It is common in areas of overcrowding, poor hygiene etc. If a child is exposed to a dirty environment and put things in their ears then they have more risk of introducing bacteria..."
Quality assurance,Communication and information - training,Supportive environment - apology,NA,NA,NA,CHW,"I apologise to you guys. I replied to the question but I sent the reply to the wrong group. Please forgive me. Now this is my reply. I will first reply to yesterdays. Part A. I take the history of the patient and after I do the hearing test. Part B. I take the history and write in the book and have 3 copies. I take one to the health center, give one to the patient and reamin with one. Part B. Name of the patient, sex, age, village, how long they have had a problem. That is my reply to yesterdays question. "
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW," Greetings fellow VHTs. Today's question requires us to state what we can tell our community members to do so as to prevent malaria. First of all, we should advise them to sleep under treated mosquito nets. Secondly we should ask them to put screen nets in the ventilators of their houses to prevent mosquitoes from entering them. Thirdly they should close their windows and doors as soon as it clocks 7pm. Fourthly they shouldn't have bushes around their houses. Mosquitoes can hide in those bushes and bite them thus causing malaria. They should also avoid stagnant water around their houses to prevent their breeding. Those are the five ways I can advise people to prevent malaria."
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,So after someone has malaria they have a weakend body. Even after the parasite clears they will feel weak for a few days.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,Get 1 litre of clean water and pour in one packet of ORS using a table spoon and cup. Give them everytime they pass out stool. It works within a day.
Quality assurance,Supportive environment - encouragement and praise,Quality assurance - patient management,Supportive environment - greetings,Supportive environment - religion,Supportive environment - apology,Peer supervisor,"Good morning members, thanks for yesterdays work. Those who are ill, God will protect you. As you also care about yourself taking medicine. I want to inform you at this moment that Andrew is at the health centre. He wants to review all patients for those who have ones who need review. He apologised he was not able to be here yesterday as he had no mean of transport. But now he is here. Bring your patients so they can be seen. Because we are trying to prepare to see Dr. Simon and those ones who might go to Mbarara. It is better to see that we get all patients seen right now do they can be selected for the health centre. That is what I want to tell you. Don't loose this opportunity. I apologise to the patients who came yesterday, and didn't get treatment and inform them why they didn't get treatment because it is better for someone to know the reason - even if they didn't get what they wanted. I wish you a good day. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,"Acute Otitis Media (AOM) WHICH SHOULD NOT BE CONFUSED WITH CHRONIC SUPPRATIVE OTITIS MEDIA WHICH IS WHERE PUS IS PRESENT is just where there is a red, painful ear drum, but no perforation, no pus. It is not dangerous and usually settles with simple pain relief. It is most common in young children under 5, but can happen to anyone at any age. It is usually caused by a simple virus, and therefore does not need antibiotics. Remember antibiotics are only effective against BACTERIA, NOT VIRUSES. Finally the child might also have a cough or cold cause by the same virus."
Quality assurance,Communication and information - giving opinion,NA,NA,NA,NA,CHW,I have seen the photo - it seems the person is so sick. They mght cut the leg off. 
Communication and Information,Quality assurance - outreach work,Supportive environment - greetings,NA,NA,NA,Peer supervisor," Good morning friends, how do you see if we go like in churches, and among the people neighbouring our villages we work from and we teach them about ear diseases?"
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,CHW,"In the same house. I found another child who has a problem with both ears. A parent told me whenever the child has a cold, the ears also get affected. So the parent told me they got a doctor for a child. So this doctor traced the child. They asked about the condition of the child. I left the doctor to treat the child. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"What I would like to add on is malaria caused by eating half cooked meat and unboiled milk commonly known as brucella. It is also very dangerous and once one gets it, it may not go well with them."
Quality assurance,Supportive environment - mutual learning,Quality assurance - patient management,Communication and information - giving opinion,NA,NA,CHW,"This is my suggestion regarding the malnourished child that was found in Makata. We shouldn't deal with just the mum because she has mental issues. I know the child has a father though he's also not okay and a grandparent called Baraza. I suggest VHTs within that area should explain to both the grandparent and father the situation at hand. They should tell them the child is malnourished and was referred to the health centre so that they also get involved. If they don't get involved, then a good samaritan will have to accompany them and stay with them in case they are admitted. If there's one, that's good but the child's relatives would have been the best. That's my opinion."
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - Religion,Supportive environment - thanks,NA,CHW,"Greetings fellow VHTs and our bosses. How was your night? Thanks for the work you have done today. When I look at that photo, I see small black dots called fungus. After looking at my book on page 32 picture C, I have found the name of the condition and it's called fungal otitis externa. Thank you and may God be with you."
Supportive environment,Quality assurance - reprimand,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,Matthew - this is the VHT group chat - not the case chat. Please put your answer in the case group. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,You are at the Health Center in Seeta Nazigo and a mother comes with her 1 and a half year old boy. The mother says that the boy has discharge from his ear. She asks you to see him and help.  Q1a. What are the things you need to do? Q1b. Where should you record the history? Q1c. What questions are important to ask in the history? 
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator," Nora. Please see my previous answer to Karl. This is a good question - allergy can be caused by lots of things. Sometimes the person is born with it, other times they develop it over time. Noone knows the exact cause. What is important to know is that people can be allergic to lots of different things e.g. fur, dust, antibiotics, pollen, nuts, milk etc. The response also differs. For example some people have a minor reaction e.g. itching. Others have a very severe and dangerous reaction. Their lips swell up and their airway can close off. This more dangerous reaction is much rarer but important as the person can die."
Supportive environment,Communication and information - giving information,Supportive environment - greetings,NA,NA,NA,Facilitator,Hi Qiana. We dropped the treatment kit off at your home today
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - Thanks,NA,NA,Peer supervisor,"Good morning fellows and thanks for the work. The question says how do we treat malaria. After confirming that the child has malaria, they are given medicine called coartem which they swallow for three days according to their age of 7. They swallow three tablets twice a day. Altogether they have to be 18 tablets to complete a dosage. They are also given 6 panadols. They need to be given a lot of drinks like passion fruit juice to avoid dehydration which is usually an effect of malaria."
Quality assurance,Supportive Environment - Encouragement and praise,Communication and Information - Logistics and Planning,Quality assurance - Patient management,Quality assurance - referral,NA,CHW,Thanks for the ear camp you arranged today Dorothy. It would be good to do another one of those camps. Lets also follow up the patients in that area. When Karl reminded me I washed out the patients and we referred one for the ear camp in March with the ENT doctor.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"In part C. The questions I ask the patient - how long has the problem taken? Then I ask whether the patient have they had treatment? If the patient says yes I ask which kind of treatment. But for me the treatment I can do is give a washout, antibiotics, then I do a follow up in 1 week. "
Supportive environment,Communication and information - responding to a request,Supportive Environment - thanks,NA,NA,NA,Facilitator,Thanks Gordon. We can do a case about Tinitis (ringing in the ear) next week to help train you. Thank you.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"This is my reply to the question. Mr. Jamil might been affected as a result of the kind of treatment and care given to people. To be honest, quinine has damaged many people's ears. One uses it without taking enough drinks. Remember these are children and we have to take responsible for their wellbeing. Now, he might have been given quinine by the parents without water. He might also have been sickly as a child and the parents kept giving him quinine tablets. We know quinine tablets cause hearing loss. Secondly, the condition might have started while in the womb. The mother might have been alcoholic, had low immunity or wasn't eating certain nutrients when pregnant which help in the proper formation of the bones of hearing. It might also have been as a result of tough parents who slap their children causing the ear drum to burst. That's what I think. In Seeta there's a 14 year old kid who has a problem with hearing and the mother says quinine is the cause."
Supportive environment,Communication and information - training,Communication and information - logistics and planning,Supportive environment - thanks,Supportive environment - greetings,NA,Facilitator, Hi All VHTs. Thanks for your answers. I think we need to just do some refresher training on acute otitis media. Perhaps Bryan and Catherine can deliver this when I am away as most of the answers today were not correct unfortunatly.
Quality assurance,Communication and information - logistics and planning,Communication and information - clarifying information,Communication and information - giving information,NA,NA,CHW," Francesca did you go and visit Mrs Nalongo Tendo, because I got caught up with the other staff of Nakalema and when I came back I was feeling pain in my leg, did you go there?"
Supportive environment,Communication and information - training,Communication and information - giving information,Supportive environment - encouragement and praise,NA,NA,CHW,"Well done fellow VHTs. Sorry if my voice is so low but that's the loudest it can get because I fell sick. I explain to him the causes of hearing loss which include the  following. One can lose hearing while in their mother's womb. In case a pregnant woman falls sick and doesn't get treatment, for example from severe malaria, it affects the baby's brain. Some pregnant women use strong medicine for treatment. Others use alcoholic stuff, drugs like marijuana which affects the baby's brain causing hearing loss. Some people use head sets with loud sound which leads to bursting of the ear drum. Accidents also cause hearing loss for instance when one falls and the ears are affected. May be diseases from old age too and the treatment given thereafter like quinine. That's my reply."
